Relatório de palavras-chave da rede de pesquisa
23 de Novembro de 2021 - 23 de Novembro de 2021
Status da palavra-chave,Palavra-chave,Tipo de corresp.,Campanha,Grupo de anúncios,Status,Motivos do status,Código da moeda,CPC máx.,URL final,URL final para dispositivos móveis,Impr.,Interações,Taxa de interação,Custo médio,Custo,Conversões,Custo / conv.,Taxa de conv.
Ativado,placa de identificação de veículos,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,5,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,valor emplacamento,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,nova placa,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,primeiro emplacamento sp,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento veicular,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,4,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,valor da placa mercosul,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,11,1,"9,09%","2,47","2,47","0,00","0,00","0,00%"
Ativado,como trocar a placa mercosul,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa nova valor,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas mercosul valor,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,perdi minha placa,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,valor para placa mercosul,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul zona sul sp,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul mini,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,empresas credenciadas placas mercosul sp zona sul,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,valor placa mercosul sp 2021,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento de carros 2021,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,como mudar a placa da moto para mercosul,Correspondência ampla,Rede de Pesquisa WHATSAPP,Grupo de anúncios 03 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento de carro,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,33,6,"18,18%","0,55","3,29","0,00","0,00","0,00%"
Ativado,placas de moto,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,3,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento detran sp valor,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,como fazer emplacamento de moto,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,4,1,"25,00%","0,63","0,63","0,00","0,00","0,00%"
Ativado,placa mercosul de moto,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa nova mercosul,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul sp onde comprar,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,emplacamento zona sul,Correspondência ampla,Rede de Pesquisa 10%,Grupo de anúncios 02 Placas,Qualificado,,BRL, --,,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa para veiculos,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,54",,,2,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,emplacadora,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas automoveis,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa de carro mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,49",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas veiculares,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,"""placas de carro""",Correspondência de frase,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,mudança de placa,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,31",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,precio de placas para auto,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,novas placas de carros,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,60",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,novas placas de veículos,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,32",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa oficial mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,preço das placas mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"1,03",,,1,0,"0,00%", --,"0,00","0,00","0,00","0,00%"
Ativado,preço da placa mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,37",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,fabrica de placas mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,onde comprar placa mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"1,47",,,2,1,"50,00%","1,84","1,84","0,00","0,00","0,00%"
Ativado,placa mercosul personalizada,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,comprar placa mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,75",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa das novas,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placa mercosul sp como solicitar,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,tipos de placas mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,empresas credenciadas placas mercosul sp,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,placas mercosul santo amaro,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
Ativado,Novas placas mercosul,Correspondência ampla,Rede de pesquisa (Manual) com imagens e valores,Placas Mercosul,Qualificado,,BRL,"0,10",,,0,0, --, --,"0,00","0,00","0,00","0,00%"
